PROJETOS
Projeto,Status,Data Início,Data Prevista,Responsável,Localização
COUGAR,Em andamento,01/12/2024,28/02/2025,Daia,São Paulo - SP
BETA,Em andamento,15/12/2024,31/03/2025,Daia,Rio de Janeiro - RJ
ESPERANÇA,Em andamento,05/01/2025,30/04/2025,Daia,Belo Horizonte - MG
PBL GUATEMALA,Planejamento,10/01/2025,15/05/2025,Daia,Guatemala City
NAVEPARK,Concluído,01/11/2024,20/01/2025,Daia,Curitiba - PR

---

ATIVIDADES
Projeto,Atividade,Data Início,Data Fim,Status,Macro Etapa
COUGAR,KICKOFF INTERNO,01/12/2024,03/12/2024,Concluído,1. Iniciação
COUGAR,Documentação Layout Lógico,04/12/2024,10/12/2024,Concluído,2. Planejamento & Documentação
COUGAR,Documentação Layout Elétrico,04/12/2024,10/12/2024,Concluído,2. Planejamento & Documentação
COUGAR,Solicitação de Acesso Remoto,11/12/2024,15/12/2024,Concluído,3. Provisionamento de Recursos
COUGAR,Solicitação de VPN,11/12/2024,15/12/2024,Concluído,3. Provisionamento de Recursos
COUGAR,Solicitação Range de IPs,11/12/2024,15/12/2024,Concluído,3. Provisionamento de Recursos
COUGAR,Instalação Física Equipamentos,16/12/2024,22/12/2024,Concluído,4. Implementação
COUGAR,Configuração de Rede,23/12/2024,27/12/2024,Em andamento,4. Implementação
COUGAR,Validação Acesso Remoto - Homolog,28/12/2024,05/01/2025,Aguardando,5. Testes & Homologação
COUGAR,Validação VPN - Homolog,28/12/2024,05/01/2025,Aguardando,5. Testes & Homologação
COUGAR,Testes de Integração,06/01/2025,10/01/2025,Aguardando,5. Testes & Homologação
COUGAR,Validação Acesso Remoto - Produção,11/01/2025,15/01/2025,Não iniciado,6. Deploy em Produção
COUGAR,Validação VPN - Produção,11/01/2025,15/01/2025,Não iniciado,6. Deploy em Produção
COUGAR,Cutover Produção,16/01/2025,18/01/2025,Não iniciado,6. Deploy em Produção
COUGAR,Monitoramento Intensivo,19/01/2025,02/02/2025,Não iniciado,7. Estabilização
COUGAR,Lembretes (validações periódicas),03/02/2025,10/02/2025,Não iniciado,7. Estabilização
COUGAR,Criar procedimento de trabalho,11/02/2025,15/02/2025,Não iniciado,8. Encerramento
COUGAR,Range de IPs - Atualizar documentação,16/02/2025,20/02/2025,Não iniciado,8. Encerramento
COUGAR,Aceite Formal,21/02/2025,25/02/2025,Não iniciado,8. Encerramento
COUGAR,Concluído,26/02/2025,28/02/2025,Não iniciado,8. Encerramento
BETA,KICKOFF INTERNO,15/12/2024,17/12/2024,Concluído,1. Iniciação
BETA,Documentação Layout Lógico,18/12/2024,24/12/2024,Concluído,2. Planejamento & Documentação
BETA,Documentação Layout Elétrico,18/12/2024,24/12/2024,Em andamento,2. Planejamento & Documentação
BETA,Solicitação de Acesso Remoto,26/12/2024,02/01/2025,Aguardando,3. Provisionamento de Recursos
BETA,Solicitação de VPN,26/12/2024,02/01/2025,Aguardando,3. Provisionamento de Recursos
BETA,Solicitação Range de IPs,26/12/2024,02/01/2025,Aguardando,3. Provisionamento de Recursos
BETA,Instalação Física Equipamentos,03/01/2025,10/01/2025,Não iniciado,4. Implementação
BETA,Configuração de Rede,11/01/2025,17/01/2025,Não iniciado,4. Implementação
BETA,Validação Acesso Remoto - Homolog,18/01/2025,25/01/2025,Não iniciado,5. Testes & Homologação
BETA,Validação VPN - Homolog,18/01/2025,25/01/2025,Não iniciado,5. Testes & Homologação
BETA,Testes de Integração,26/01/2025,02/02/2025,Não iniciado,5. Testes & Homologação
BETA,Validação Acesso Remoto - Produção,03/02/2025,10/02/2025,Não iniciado,6. Deploy em Produção
BETA,Validação VPN - Produção,03/02/2025,10/02/2025,Não iniciado,6. Deploy em Produção
BETA,Cutover Produção,11/02/2025,13/02/2025,Não iniciado,6. Deploy em Produção
BETA,Monitoramento Intensivo,14/02/2025,28/02/2025,Não iniciado,7. Estabilização
BETA,Lembretes (validações periódicas),01/03/2025,08/03/2025,Não iniciado,7. Estabilização
BETA,Criar procedimento de trabalho,09/03/2025,15/03/2025,Não iniciado,8. Encerramento
BETA,Range de IPs - Atualizar documentação,16/03/2025,22/03/2025,Não iniciado,8. Encerramento
BETA,Aceite Formal,23/03/2025,28/03/2025,Não iniciado,8. Encerramento
BETA,Concluído,29/03/2025,31/03/2025,Não iniciado,8. Encerramento
ESPERANÇA,KICKOFF INTERNO,05/01/2025,07/01/2025,Concluído,
